[Weather{dateTime=2023-08-12T20:44:11, temperature=28.02, humidity=82.0, windSpeed=6.17}
, Weather{dateTime=2023-08-12T20:44:47, temperature=28.02, humidity=82.0, windSpeed=6.17}
, Weather{dateTime=2023-08-12T20:53:47, temperature=28.02, humidity=82.0, windSpeed=6.17}
, Weather{dateTime=2023-08-12T20:44:11, temperature=28.02, humidity=82.0, windSpeed=6.17}
, Weather{dateTime=2023-08-12T20:44:47, temperature=28.02, humidity=82.0, windSpeed=6.17}
, Weather{dateTime=2023-08-12T20:53:47, temperature=28.02, humidity=82.0, windSpeed=6.17}
, Weather{dateTime=2023-08-12T21:44:52, temperature=27.62, humidity=85.0, windSpeed=1.34}
, Weather{dateTime=2023-08-12T21:45:09, temperature=27.62, humidity=85.0, windSpeed=1.34}
, Weather{dateTime=2023-08-12T21:46:41, temperature=27.62, humidity=85.0, windSpeed=1.34}
, Weather{dateTime=2023-08-12T21:52:02, temperature=29.11, humidity=65.0, windSpeed=5.14}
, Weather{dateTime=2023-08-12T21:53:21, temperature=29.11, humidity=65.0, windSpeed=5.14}
, Weather{dateTime=2023-08-12T21:54:14, temperature=29.11, humidity=65.0, windSpeed=5.14}
]
